Date,TYO,F,GM,HMC,STLA
2014-10-30,19.8,13.95,30.78,30.65,10.84
2014-10-31,19.9586,14.09,31.4,32.12,11.46
2014-11-03,19.94,13.99,31.18,32.4,11.23
2014-11-04,19.87,13.95,30.82,31.02,11.05
2014-11-05,19.8901,13.94,30.73,31.69,11.14
2014-11-06,20.04,14.19,31.37,31.66,10.98
2014-11-07,19.71,14.17,31.59,31.62,10.94
2014-11-10,19.85,14.0,31.12,31.55,11.05
2014-11-11,19.976,14.37,31.35,31.01,11.42
2014-11-12,19.872,14.58,31.42,31.19,11.67
2014-11-13,19.85,14.93,31.65,31.53,12.33
2014-11-14,19.6265,15.14,31.79,31.99,12.4
2014-11-17,19.79,15.54,32.31,31.51,12.53
2014-11-18,19.71,15.5,32.27,31.65,12.81
2014-11-19,19.8968,15.44,32.15,31.13,12.23
2014-11-20,19.73,15.46,32.13,31.16,12.22
2014-11-21,19.66,15.43,32.13,31.74,12.26
2014-11-24,19.58,15.67,32.19,31.68,12.58
2014-11-25,19.4299,15.68,32.23,31.79,12.65
2014-11-26,19.26,15.61,32.07,30.97,12.59
2014-11-28,19.1199,15.73,33.43,30.32,12.46
2014-12-01,19.19,15.77,32.94,30.51,12.71
2014-12-02,19.448,15.9,33.26,30.76,13.09
2014-12-03,19.41,16.01,33.64,30.98,13.56
2014-12-04,19.24,15.81,33.09,31.21,13.22
2014-12-05,19.5,15.7,33.93,31.14,13.61
2014-12-08,19.34,15.43,32.68,30.54,13.27
2014-12-09,19.13,15.43,32.81,31.01,12.67
2014-12-10,18.87,15.16,31.97,30.14,11.47
2014-12-11,19.0094,15.28,32.19,30.06,11.18
2014-12-12,18.59,14.99,31.57,29.34,11.36
2014-12-15,18.63,14.28,31.0,28.93,11.41
2014-12-16,18.4199,14.09,30.73,28.87,11.49
2014-12-17,18.715,14.45,31.15,29.81,11.45
2014-12-18,19.04,14.81,31.75,30.14,11.54
2014-12-19,18.88,15.03,32.81,30.33,11.65
2014-12-22,18.8699,15.22,33.23,30.2,11.67
2014-12-23,19.3,15.33,33.56,30.23,11.81
